plz,building_count,total_roof_m2,avg_roof_m2,area_km2,buildings_per_km2
80331,232,45863.78162892629,197.68871391778575,1.921536541681095,120.73670990249819
80333,254,45301.40212416754,178.35197686680132,3.68553281784649,68.91812189815633
80335,233,35711.126690981,153.26663815871675,3.7913769283794805,61.45524552199811
80336,183,33639.104987150284,183.8202458314223,3.7567265583072027,48.71262178913032
80337,198,31807.015500211408,160.64149242531013,2.0481742195245585,96.67146383961499
80339,278,50161.31387666329,180.4363808513068,4.513742897250631,61.589684288250616
80469,245,44994.312485117356,183.65025504129534,2.7351437977021535,89.57481511788491
80538,147,25305.18642857957,172.14412536448688,4.2573276297331955,34.52870269446761
80539,96,15730.104035250897,163.85525036719685,2.0453859635907974,46.93490700966103
80634,281,47177.65138523383,167.89199781222004,2.8327976411003073,99.19522521589462
80636,274,40827.51580341457,149.00553212925027,3.8378719725557926,71.39373120295423
80637,490,80173.71577294657,163.61982810805424,4.17904885814937,117.25156049431527
80638,1451,199843.778449512,137.7283104407388,8.573469240617232,169.2430402766031
80639,1056,150800.8477406517,142.80383308773835,9.831441163562092,107.41049887109267
80686,1722,224847.50008329222,130.57346114012324,6.447833646525542,267.0664434601087
80687,622,96081.21318442968,154.47140383348824,4.662393617182598,133.407869663279
80689,1998,328517.53407815815,164.42319022930837,7.54478168318236,264.81879581136553
80796,147,23964.777579225247,163.02569781785883,1.8783219024129008,78.26134583809258
80797,346,47888.96751043443,138.4074205503885,4.2111027214162355,82.16375208335853
80798,155,28002.36449474981,180.66041609516006,1.0287755702608112,150.66454188905846
80799,226,40157.9462449995,177.69002763274113,1.3964440633782147,161.83963677948614
80801,90,15620.655624426692,173.56284027140768,0.8719222034422597,103.22021809364323
80802,163,32058.733294929418,196.67934536766515,3.4600723654256287,47.10884131463798
80803,143,25581.44537515395,178.89122639967798,1.0865171265268772,131.61320379468737
80804,221,38262.71061335177,173.13443716448762,3.689256012936815,59.90367684569388
80805,776,120660.72435581694,155.4906241698672,12.985094013636115,59.76083031706158
80807,757,97997.25434806528,129.45476135807831,8.209710902534288,92.2078754035442
80809,503,79540.94699587846,158.13309541924147,10.176245108555866,49.428840857723976
80933,281,46633.44013391649,165.95530296767436,4.184968800642162,67.14506448814672
80935,1999,309565.6249860242,154.86024261431928,8.813414273100404,226.8133481596556
80937,1418,193851.20841093358,136.70748124889533,14.194844470225044,99.89542350917489
80939,2834,444674.3263505644,156.9069606035866,36.218286204829916,78.24776644517404
80992,1646,217315.5339190164,132.02644831045953,10.346160417084901,159.0928357617493
80993,1226,196562.127071919,160.32799924300082,5.616410565733487,218.2888849828748
80995,4523,685575.513675225,151.57539546213243,53.48537468170074,84.565173693127
80997,3708,584595.5535967915,157.65791628823933,24.439623232310986,151.72083320407944
80999,3808,572802.4357339336,150.42080770323886,18.787379124749112,202.6892614831848
81241,1756,251313.8026303811,143.11719967561567,10.817397243075067,162.33110059114563
81243,2253,355834.8438101324,157.93823515762645,8.348486854670183,269.8692636426278
81245,3845,591120.8199034396,153.73753443522486,19.9926439787964,192.32073577051096
81247,3288,535218.1181915296,162.77923302662094,10.74747627200439,305.9322874305628
81249,3418,504944.9514670067,147.73111511615176,60.66057078250355,56.34632110955772
81369,804,121285.85922747641,150.8530587406423,4.77248382979463,168.46573580420028
81371,387,52203.03300919481,134.8915581632941,4.6663049695571654,82.93499943205094
81373,650,76315.39783859118,117.40830436706335,5.293659059646674,122.78841396396697
81375,1174,209821.08633800287,178.72324219591385,7.163978735467412,163.87541662955576
81377,1950,365879.8835569648,187.63070951639222,15.594289946034671,125.04577039083769
81379,944,144301.32315790505,152.86157114184857,13.864206743556721,68.0890019501993
81475,1059,190575.26821890732,179.9577603577973,5.885702392892075,179.92754803214507
81476,1675,265773.8200271524,158.67093732964324,6.280836453909066,266.6842246716222
81477,2261,349318.43084268604,154.49731571989653,7.097758739891225,318.5512614415308
81479,1419,217261.64524014207,153.1089818464708,10.979513877198158,129.24069461280303
81539,539,86648.6968995802,160.7582502775143,4.4374355504833165,121.46655289253569
81541,430,74783.06374870623,173.9141017411773,4.943287136162571,86.98665243504449
81543,480,61845.69024140595,128.84518800292906,6.180132616416012,77.6682362325037
81545,1407,235276.91698530203,167.21884647143003,7.64472797739742,184.04840619051046
81547,1213,197971.06064893934,163.20779938082387,5.360657496591738,226.27821321754195
81549,1965,288286.32884167257,146.71059991942624,11.742918008145388,167.33489909722545
81667,247,43170.540246027995,174.77951516610526,2.736512374077751,90.26087451303523
81669,540,85975.57979857526,159.21403666402824,3.439124045408482,157.01672660541138
81671,642,94751.08991679383,147.58736747164147,5.192992157135976,123.62814742899093
81673,597,85976.14641198903,144.01364558122117,5.832232713882994,102.36217059358873
81675,191,30989.759017325967,162.25004721113072,3.769664994401177,50.667632344964105
81677,931,132288.16881381784,142.09255511688275,7.89400359199511,117.93762051794322
81679,284,43421.08175681563,152.8911329465339,3.2280621457801404,87.97847971150644
81735,1377,217500.3627037495,157.95233311819135,8.256261549780291,166.7825070339061
81737,1531,239406.00861587573,156.37231131017356,11.491456570493929,133.22941183375104
